pair,price,source,volume
ETH/KRW,$731.65,GOPAX,"$1,831,000"
QTUM/ETH,$723.06,Binance,"$1,793,140"
OCN/ETH,$720.34,Kucoin,"$1,770,960"
EOSDAC/ETH,$594.96,EtherDelta (ForkDelta),"$1,746,620"
BAT/ETH,$717.39,Binance,"$1,716,960"
VEN/ETH,$720.70,Huobi,"$1,712,550"
CPC/ETH,$718.49,Bibox,"$1,708,780"
GNT/ETH,$711.11,Bittrex,"$1,705,900"
YEE/ETH,$717.09,Huobi,"$1,703,020"
ETH/BTC,$722.72,BTC-Alpha,"$1,694,490"
SENC/ETH,$720.96,Gate.io,"$1,655,660"
BTO/ETH,$720.55,Gate.io,"$1,650,720"
ETH/USDT,$725.56,OTCBTC,"$1,631,400"
OMG/ETH,$727.41,Binance,"$1,621,010"
ETH/USDT,$720.97,Liqui,"$1,566,740"
GNT/ETH,$782.90,Poloniex,"$1,541,670"
MOF/ETH,$720.88,OKEx,"$1,531,220"
FSN/ETH,$711.55,Qryptos,"$1,521,110"
BCH/ETH,$723.13,OKEx,"$1,504,030"
DSH/ETH,$721.08,WEX,"$1,503,440"
EOS/ETH,$728.37,IDAX,"$1,478,010"
TRUE/ETH,$723.41,OKEx,"$1,456,880"
GNT/ETH,$711.11,Upbit,"$1,437,780"
ETH/LTC,$720.76,WEX,"$1,437,340"
PRA/ETH,$723.65,OKEx,"$1,435,790"
ETH/BTC,$717.26,QuadrigaCX,"$1,423,810"
OMG/ETH,$725.53,IDAX,"$1,407,760"
ONT/ETH,$724.57,OKEx,"$1,406,690"
BCH/ETH,$723.26,HitBTC,"$1,397,830"
FUN/ETH,$722.08,Binance,"$1,397,740"
DOCK/ETH,$723.78,Kucoin,"$1,390,350"
ITC/ETH,$719.91,Huobi,"$1,371,070"
ETH/THB,$703.62,BX Thailand,"$1,369,340"
MDS/ETH,$718.03,Huobi,"$1,364,280"
BTM/ETH,$722.32,OKEx,"$1,357,910"
BLZ/ETH,$725.25,Huobi,"$1,330,400"
STORM/ETH,$730.43,Binance,"$1,313,140"
TNB/ETH,$728.28,Binance,"$1,311,330"
RDN/ETH,$721.08,Huobi,"$1,309,140"
ETH/USD,$723.96,Coinsuper,"$1,292,480"
ENJ/ETH,$691.71,Qryptos,"$1,289,210"
CDT/ETH,$721.48,Binance,"$1,282,330"
ETH/BTC,$722.15,IDAX,"$1,281,760"
LEND/ETH,$723.99,Binance,"$1,277,930"
GNX/ETH,$716.69,Huobi,"$1,239,580"
ETH/USDT,$725.38,fex,"$1,237,300"
OMG/ETH,$723.86,Huobi,"$1,235,260"
KCASH/ETH,$736.48,OKEx,"$1,235,210"
SOC/ETH,$723.14,OKEx,"$1,234,760"
STC/ETH,$721.54,OKEx,"$1,226,380"
OC/ETH,$714.82,Bit-Z,"$1,206,350"
WPR/ETH,$721.80,Huobi,"$1,201,220"
OMG/ETH,$677.55,TOPBTC,"$1,199,840"
ETH/BTC,$722.34,bitFlyer,"$1,195,680"
DGD/ETH,$720.75,Huobi,"$1,189,380"
QASH/ETH,$715.49,Huobi,"$1,170,270"
LYM/ETH,$713.14,Gate.io,"$1,163,460"
QUN/ETH,$726.97,Huobi,"$1,144,130"
TNB/ETH,$726.46,Huobi,"$1,138,030"
BNT/ETH,$719.54,Binance,"$1,129,630"
ETH/USD,$729.83,Coinhub,"$1,121,360"
SRN/ETH,$718.93,Huobi,"$1,108,560"
INT/ETH,$719.01,OKEx,"$1,100,040"
NEO/ETH,$722.81,OKEx,"$1,098,160"
LSK/ETH,$721.85,Huobi,"$1,088,590"
SNT/ETH,$673.97,TOPBTC,"$1,084,990"
ETC/ETH,$724.07,Binance,"$1,078,030"
EOS/ETH,$710.94,DragonEX,"$1,057,150"
TRX/ETH,$723.14,Bittrex,"$1,042,120"
ETH/BTC,$744.10,Qryptos,"$1,041,430"
LRC/ETH,$721.86,IDAX,"$1,036,600"
ETH/USDT,$722.57,C2CX,"$1,034,870"
ETH/BTC,$685.64,Sistemkoin,"$1,034,680"
HBZ/ETH,$742.62,Coinhub,"$1,027,050"
BCC/ETH,$719.02,Bittrex,"$1,023,710"
BTS/ETH,$723.48,Binance,"$1,022,060"
ELF/ETH,$717.57,OKEx,"$1,020,650"
LRC/ETH,$702.02,DragonEX,"$1,011,620"
ETH/DAI,$722.41,OasisDEX,"$994,177"
ETH/USD,$723.45,xBTCe,"$991,893"
ETH/USD,$723.45,Omicrex,"$991,893"
ICX/ETH,$721.69,Huobi,"$990,350"
LRC/ETH,$725.94,Binance,"$989,879"
ETH/IDR,$709.86,Indodax,"$987,144"
ONT/ETH,$721.36,Gate.io,"$986,890"
RCN/ETH,$718.16,Huobi,"$985,515"
ABT/ETH,$717.24,DragonEX,"$976,246"
ETH/USDT,$722.77,Kucoin,"$967,090"
ADX/ETH,$720.15,Liqui,"$966,936"
THETA/ETH,$720.59,Huobi,"$963,825"
ETH/BTC,$688.84,CoinEx Market,"$958,883"
LRN/ETH,$728.67,IDAX,"$953,586"
GXS/ETH,$731.89,Binance,"$952,714"
MEET/ETH,$717.70,Huobi,"$951,731"
GVT/ETH,$719.36,Binance,"$948,797"
POE/ETH,$715.71,Binance,"$946,785"
LET/ETH,$722.56,Huobi,"$946,243"
REQ/ETH,$722.45,Binance,"$946,169"
ETH/BTC,$721.21,Cryptopia,"$945,616"
MTX/ETH,$718.91,Huobi,"$940,941"
POLY/ETH,$735.27,Kucoin,"$933,316"
KNC/ETH,$715.48,Binance,"$932,650"
ACAT/ETH,$699.90,Hotbit,"$921,591"
MANA/ETH,$719.10,Binance,"$919,033"
NEO/ETH,$724.14,DragonEX,"$919,020"
TOPC/ETH,$725.13,Huobi,"$917,026"
BCH/ETH,$709.57,B2BX,"$894,901"
DRGN/ETH,$725.13,Kucoin,"$894,414"
ZPT/ETH,$730.61,Lbank,"$883,067"
QTUM/ETH,$723.18,DragonEX,"$876,167"
BFT/ETH,$718.76,Gate.io,"$867,541"
MGO/ETH,$699.25,Qryptos,"$865,279"
APPC/ETH,$721.02,Binance,"$865,115"
ETH/BTC,$713.10,Bitbank,"$864,291"
QTUM/ETH,$719.67,OKEx,"$847,877"
C20/ETH,$726.64,Bibox,"$846,859"
WAX/ETH,$701.55,Huobi,"$844,330"
CPX/ETH,$702.00,Lbank,"$836,853"
WABI/ETH,$723.19,Binance,"$828,201"
ADA/ETH,$732.47,Bittrex,"$827,567"
LINK/ETH,$722.40,Binance,"$825,840"
STRAT/ETH,$723.01,Binance,"$821,340"
AIDOC/ETH,$705.60,Huobi,"$820,672"
ETH/EUR,$719.91,xBTCe,"$808,952"
ETH/EUR,$719.91,Omicrex,"$808,952"
CS/ETH,$765.43,Lbank,"$808,272"
RCN/ETH,$722.15,Ethfinex,"$805,951"
ETH/BTC,$721.18,Gate.io,"$802,069"
BSTN/ETH,$745.91,HitBTC,"$800,761"
BCH/ETH,$721.99,OTCBTC,"$800,113"
ETH/AUD,$711.98,Independent Reserve,"$799,115"
GUP/ETH,$717.57,Liqui,"$797,946"
NTK/ETH,$724.73,Tidex,"$797,104"
CS/ETH,$720.21,Kucoin,"$790,319"
ETH/USD,$744.68,BTC-Alpha,"$786,865"
SNT/ETH,$730.33,Binance,"$782,449"
LTC/ETH,$723.29,Coinsuper,"$779,273"
XEM/ETH,$719.42,Binance,"$778,955"
ZRX/ETH,$675.92,ChaoEX,"$778,029"
ABT/ETH,$715.62,OKEx,"$773,899"
ETH/BTC,$710.79,Fatbtc,"$773,565"
ETH/ZEC,$719.49,WEX,"$769,948"
ETH/KRW,$528.83,Coinnest,"$767,882"
ETH/RUB,$652.52,Exmo,"$767,096"
WPR/ETH,$724.29,Binance,"$762,994"
