coin_marketcap,coin_name,coin_position,coin_price,coin_supply,coin_volume,year
"$30,582","ABY
ArtByte",158,$0.000067,"456,738,650",Low Vol,2015
"$29,494","GAME
GameCredits",159,$0.000609,"48,452,787",Low Vol,2015
"$28,959","NOXT
NobleNXT",160,$0.052516,"551,428
*",Low Vol,2015
"$28,298","JPC
JackpotCoin",161,$0.000005,"5,698,682,708",Low Vol,2015
"$27,948","LXC
Librexcoin",162,$0.002864,"9,758,430",Low Vol,2015
"$27,256","AMBER
AmberCoin",163,$0.006993,"3,897,621",Low Vol,2015
"$27,193","EFL
e-Gulden",164,$0.005082,"5,351,088",Low Vol,2015
"$26,962","GEO
GeoCoin",165,$0.021537,"1,251,906",Low Vol,2015
"$26,913","PLUGIN
NxtPlugins",166,$0.053826,"500,000
*",Low Vol,2015
"$26,706","TIPS
FedoraCoin",167,$9.5e-08,"280,846,322,360",Low Vol,2015
"$26,370","BYC
Bytecent",168,$0.055852,"472,139","$4,257",2015
"$26,032","TRC
Terracoin",169,$0.002564,"10,152,770",Low Vol,2015
"$24,998","RIC
Riecoin",170,$0.001998,"12,509,356",Low Vol,2015
"$23,499","CASH
Cashcoin",171,$0.005162,"4,551,861",Low Vol,2015
"$23,284","CRYPT
CryptCoin",172,$0.003868,"6,019,065",Low Vol,2015
"$23,115","TAG
TagCoin",173,$0.007673,"3,012,464",Low Vol,2015
"$22,289","MED
Mediterranean...",174,$0.000631,"35,337,614",Low Vol,2015
"$22,175","GLC
GlobalCoin",175,$0.000358,"62,016,857",$672,2015
"$21,824","BTM
Bitmark",176,$0.023374,"933,683",$582,2015
"$21,671","NEOS
NeosCoin",177,$0.004376,"4,952,044",Low Vol,2015
"$21,491","8BIT
8Bit",178,$0.211319,"101,697
*","$2,305",2015
"$21,434","SUPER
SuperCoin",179,$0.000811,"26,440,795",Low Vol,2015
"$20,952","ELT
Electron",180,$0.002203,"9,510,108",Low Vol,2015
"$20,903","OMC
Omnicoin",181,$0.002239,"9,335,409",Low Vol,2015
"$20,900","EMC2
Einsteinium",182,$0.000119,"175,943,618",Low Vol,2015
"$20,343","EKN
Elektron",183,$0.007722,"2,634,568
*","$18,258",2015
"$20,082","ORB
Orbitcoin",184,$0.010123,"1,983,721",Low Vol,2015
"$19,787","OC
OrangeCoin",185,$0.000362,"54,682,055
*",Low Vol,2015
"$19,739","TROLL
Trollcoin",186,$0.000004,"4,842,171,441",Low Vol,2015
"$19,619","PTC
Pesetacoin",187,$0.000175,"112,149,322",Low Vol,2015
"$19,462","CESC
CryptoEscudo",188,$0.000159,"122,693,974",Low Vol,2015
"$18,633","CSC
CasinoCoin",189,$0.000589,"31,658,158
*",Low Vol,2015
"$18,603","SXC
Sexcoin",190,$0.000199,"93,682,501",Low Vol,2015
"$18,560","CYP
Cypher",191,$0.002931,"6,332,653
*","$1,408",2015
"$18,488","MTR
MasterTraderCoin",192,$0.154402,"119,737
*",Low Vol,2015
"$18,373","J
Joincoin",193,$0.011411,"1,610,159",Low Vol,2015
"$17,411","BITB
Bean Cash",194,$0.000025,"704,366,688
*",Low Vol,2015
"$17,287","FST
Fastcoin",195,$0.000149,"116,210,345",Low Vol,2015
"$17,008","NTRN
Neutron",196,$0.012225,"1,391,236
*","$2,237",2015
"$16,709","ARI
Aricoin",197,$0.000122,"137,187,257",Low Vol,2015
"$16,551","SMAC
SMAC",198,$0.025330,"653,432
*",Low Vol,2015
"$16,360","SRC
SecureCoin",199,$0.007211,"2,268,625",Low Vol,2015
"$16,356","DIME
Dimecoin",200,$5.5e-08,"299,580,260,352",Low Vol,2015
"$16,323","MWC
MultiWalletCoin",201,$0.000599,"27,254,738
*",Low Vol,2015
"$16,148","QTL
Quatloo",202,$0.004098,"3,940,745",Low Vol,2015
"$15,970","QBK
Qibuck",203,$0.031216,"511,582
*",Low Vol,2015
"$15,078","XBC
Bitcoin Plus",204,$0.264399,"57,027
*",Low Vol,2015
"$14,950","SSD
Sonic",205,$0.000683,"21,889,838
*",Low Vol,2015
"$14,486","MMXIV
Maieuticoin",206,$0.018593,"779,115",Low Vol,2015
"$14,432","LTCD
LitecoinDark",207,$0.000183,"78,893,980",Low Vol,2015
"$14,293","BITBTC
bitBTC",208,$237.93,"60.071126
*",$578,2015
"$13,964","BITGOLD
bitGold",209,$1162.38,"12.013167
*","$1,389",2015
"$13,368","XPD
PetroDollar",210,$0.000218,"61,290,025",Low Vol,2015
"$13,359","SIGU
Singular",211,$0.019107,"699,138
*","$1,760",2015
"$13,208","YAC
Yacoin",212,$0.000283,"46,651,872",Low Vol,2015
"$13,050","LDOGE
LiteDoge",213,$0.000005,"2,771,531,687
*",Low Vol,2015
"$12,691","GLIDE
GlideSEC",214,$0.003122,"4,065,069
*",Low Vol,2015
"$12,433","TTC
TittieCoin",215,$0.000010,"1,236,102,011",Low Vol,2015
"$12,325","BQC
BBQCoin",216,$0.000296,"41,591,102",Low Vol,2015
"$11,969","BLC
Blakecoin",217,$0.001902,"6,291,911",Low Vol,2015
"$11,847","XSI
StabilityShares",218,$0.001607,"7,372,511",Low Vol,2015
"$11,707","KORE
Kore",219,$0.006609,"1,771,342
*",Low Vol,2015
"$11,624","XQN
Quotient",220,$0.001116,"10,411,743
*",Low Vol,2015
"$11,622","HAM
HamRadioCoin",221,$0.002964,"3,921,478",Low Vol,2015
"$11,336","DSH
Dashcoin",222,$1.1e-07,"101,516,461,491",Low Vol,2015
"$11,329","METAL
MetalCoin",223,$0.000147,"76,925,527
*",Low Vol,2015
"$10,991","MUE
MonetaryUnit",224,$0.000199,"55,264,584",Low Vol,2015
"$10,495","ENRG
Energycoin",225,$0.000092,"114,625,829",Low Vol,2015
"$10,172","WBB
Wild Beast Block",226,$0.083070,"122,447",$607,2015
"$10,029","GAIA
GAIA",227,$0.000416,"24,101,381
*",Low Vol,2015
"$9,824","XLB
Libertycoin",228,$0.000595,"16,512,528
*",Low Vol,2015
"$9,463","FRSH
FreshCoin",229,$0.001438,"6,578,930",Low Vol,2015
"$9,457","NKA
IncaKoin",230,$0.000010,"986,778,262",Low Vol,2015
"$9,385","MNE
Munne",231,$0.001953,"4,806,644
*",Low Vol,2015
"$9,266","UFO
Uniform Fisca...",232,$0.000004,"2,102,968,154",Low Vol,2015
"$9,261","LOG
Woodcoin",233,$0.001294,"7,158,405",Low Vol,2015
"$9,193","BSTY
GlobalBoost-Y",234,$0.001370,"6,708,846",$847,2015
"$9,167","NKT
Nakamoto Dark",235,$0.000104,"88,370,709",Low Vol,2015
"$9,115","SMBR
Sembro Token",236,$0.003646,"2,499,981
*",Low Vol,2015
"$8,980","EXCL
ExclusiveCoin",237,$0.000839,"10,707,166",Low Vol,2015
"$8,957","GDC
GrandCoin",238,$0.000022,"406,548,474",Low Vol,2015
"$8,773","XCN
Cryptonite",239,$0.000095,"92,477,863",Low Vol,2015
"$8,275","BITSILVER
bitSilver",240,$15.40,"537
*",$564,2015
"$8,234","CLR
Copperlark",241,$0.000713,"11,547,249",Low Vol,2015
"$8,175","CRW
Crown",242,$0.002112,"3,870,328",Low Vol,2015
"$8,055","CON
PayCon",243,$0.001375,"5,858,584
*",Low Vol,2015
"$8,039","KUMA
Kumacoin",244,$0.000044,"182,512,440",Low Vol,2015
"$8,022","LOT
LottoCoin",245,$5.5e-07,"14,491,014,421",Low Vol,2015
"$7,804","WETK
WeedTokens",246,$0.000779,"10,013,598",Low Vol,2015
"$7,669","SPA
SpainCoin",247,$0.000306,"25,034,211",Low Vol,2015
"$7,642","QSLV
Quicksilver",248,$0.002203,"3,468,854
*",Low Vol,2015
"$7,537","XDQ
Dirac",249,$0.016678,"451,885",Low Vol,2015
"$7,430","ACOIN
Acoin",250,$0.008067,"921,031",Low Vol,2015
"$7,304","EMD
Emerald Crypto",251,$0.000566,"12,896,892",Low Vol,2015
"$7,247","FRK
Franko",252,$0.020706,"350,000",Low Vol,2015
